Brand,Model,Processor,RAM,Storage,GraphicsCard,ScreenSize,Price
"Acer,Nitro 5 V31.0,Intel Core i5-11400H,32 GB,512 GB SSD,AMD Radeon RX 6600M,""17.3"""" FHD"",1162.06"
"Acer,Nitro 5 V23.1,Intel Core i5-11400H,64 GB,1 TB SSD,NVIDIA GeForce RTX 3060,""15.6"""" FHD"",1244.75"
"MSI,Katana GF66 V32.3,Intel Core i7-11800H,32 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""16"""" QHD"",1237.31"
"Acer,Nitro 5 V18.1,Intel Core i5-11400H,32 GB,2 TB SSD,NVIDIA GeForce RTX 3050,""17.3"""" FHD"",1215.94"
"MSI,Katana GF66 V17.2,Intel Core i7-11800H,8 GB,512 GB SSD,AMD Radeon RX 6600M,""15.6"""" FHD"",695.06"
"ASUS,ROG Strix G15 V44.4,AMD Ryzen 7 6800H,8 GB,2 TB SSD,AMD Radeon RX 6600M,""17.3"""" FHD"",1220.09"
"Acer,Nitro 5 V38.3,Intel Core i5-11400H,16 GB,512 GB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",586.81"
"ASUS,ROG Strix G15 V45.4,AMD Ryzen 7 6800H,64 GB,1 TB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",1175.22"
"ASUS,ROG Strix G15 V37.4,AMD Ryzen 7 6800H,32 GB,512 GB SSD,AMD Radeon RX 6600M,""14"""" FHD"",727.41"
"HP,Victus 15 V40.3,AMD Ryzen 5 5600H,32 GB,1 TB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",1132.72"
"HP,Victus 15 V47.8,AMD Ryzen 5 5600H,32 GB,256 GB SSD,NVIDIA GeForce RTX 3050,""17.3"""" FHD"",1340.5"
"Acer,Nitro 5 V50.3,Intel Core i5-11400H,32 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""15.6"""" FHD"",655.78"
"HP,Victus 15 V41.0,AMD Ryzen 5 5600H,64 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",991.31"
"Lenovo,Legion 5 V27.2,AMD Ryzen 7 5800H,64 GB,512 GB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",781.62"
"ASUS,ROG Strix G15 V3.5,AMD Ryzen 7 6800H,8 GB,1 TB SSD,AMD Radeon RX 7600M XT,""17.3"""" FHD"",656.53"
"HP,Victus 15 V9.7,AMD Ryzen 5 5600H,8 GB,256 GB SSD,NVIDIA GeForce RTX 3050,""16"""" QHD"",703.91"
"ASUS,ROG Strix G15 V18.4,AMD Ryzen 7 6800H,32 GB,2 TB SSD,AMD Radeon RX 7600M XT,""15.6"""" FHD"",867.78"
"HP,Victus 15 V15.2,AMD Ryzen 5 5600H,16 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""15.6"""" FHD"",732.06"
"ASUS,ROG Strix G15 V9.5,AMD Ryzen 7 6800H,64 GB,1 TB SSD,NVIDIA GeForce RTX 4050,""14"""" FHD"",612.16"
"Lenovo,Legion 5 V22.0,AMD Ryzen 7 5800H,64 GB,1 TB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",1095.31"
"ASUS,ROG Strix G15 V28.9,AMD Ryzen 7 6800H,16 GB,256 GB SSD,NVIDIA GeForce GTX 1650,""14"""" FHD"",1145.12"
"Acer,Nitro 5 V3.0,Intel Core i5-11400H,64 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""16"""" QHD"",857.84"
"MSI,Katana GF66 V29.9,Intel Core i7-11800H,16 GB,256 GB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",740.0"
"Lenovo,Legion 5 V48.1,AMD Ryzen 7 5800H,64 GB,512 GB SSD,NVIDIA GeForce RTX 3060,""15.6"""" FHD"",1251.31"
"HP,Victus 15 V18.7,AMD Ryzen 5 5600H,8 GB,512 GB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",582.88"
"MSI,Katana GF66 V3.5,Intel Core i7-11800H,8 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""16"""" QHD"",702.75"
"Acer,Nitro 5 V50.3,Intel Core i5-11400H,16 GB,256 GB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",928.25"
"Acer,Nitro 5 V42.5,Intel Core i5-11400H,8 GB,256 GB SSD,AMD Radeon RX 6600M,""16"""" QHD"",696.09"
"HP,Victus 15 V26.5,AMD Ryzen 5 5600H,16 GB,512 GB SSD,NVIDIA GeForce RTX 3060,""15.6"""" FHD"",1024.78"
"HP,Victus 15 V12.9,AMD Ryzen 5 5600H,32 GB,256 GB SSD,NVIDIA GeForce RTX 4050,""16"""" QHD"",644.12"
"Lenovo,Legion 5 V47.1,AMD Ryzen 7 5800H,16 GB,2 TB SSD,NVIDIA GeForce RTX 3050,""15.6"""" FHD"",1290.56"
