Brand,Model,Size (inches),Resolution,Refresh Rate (Hz),Panel Type,Connection,Price (USD)
Dell,Dell Monitor 755,21.2,2560x1440,120,TN,USB-C,360.48
Dell,Dell Monitor 175,27.8,1920x1080,144,IPS,VGA,455.83
Dell,Dell Monitor 659,23.4,2560x1440,120,VA,USB-C,546.16
Asus,Asus Monitor 320,21.3,3840x2160,120,IPS,USB-C,489.06
Samsung,Samsung Monitor 237,33.0,2560x1440,144,VA,USB-C,132.45
Samsung,Samsung Monitor 394,24.2,3840x2160,75,TN,HDMI,647.08
Samsung,Samsung Monitor 602,27.8,3840x2160,120,VA,USB-C,600.74
Samsung,Samsung Monitor 159,33.6,3840x2160,120,TN,DisplayPort,346.21
HP,HP Monitor 756,28.3,2560x1440,120,IPS,HDMI,430.22
Acer,Acer Monitor 165,23.6,3840x2160,60,VA,HDMI,330.68
BenQ,BenQ Monitor 787,30.4,3840x2160,144,TN,DisplayPort,298.04
Acer,Acer Monitor 571,27.6,2560x1440,144,VA,DisplayPort,347.23
Samsung,Samsung Monitor 784,34.0,2560x1440,60,VA,VGA,446.32
LG,LG Monitor 914,31.3,3840x2160,120,IPS,VGA,358.79
HP,HP Monitor 471,29.0,2560x1440,75,IPS,DisplayPort,655.41
Acer,Acer Monitor 345,21.5,1920x1080,75,TN,DisplayPort,116.17
Dell,Dell Monitor 256,21.6,2560x1440,120,IPS,USB-C,696.58
LG,LG Monitor 519,31.3,1920x1080,144,VA,USB-C,497.82
Samsung,Samsung Monitor 524,21.4,2560x1440,120,TN,VGA,569.81
Dell,Dell Monitor 324,26.3,3840x2160,60,IPS,VGA,429.53
BenQ,BenQ Monitor 392,22.7,2560x1440,75,IPS,USB-C,655.9
Acer,Acer Monitor 260,33.3,2560x1440,120,VA,DisplayPort,301.62
BenQ,BenQ Monitor 997,30.5,2560x1440,120,IPS,USB-C,659.82
LG,LG Monitor 957,31.0,3840x2160,120,IPS,HDMI,200.8
Samsung,Samsung Monitor 120,28.6,1920x1080,75,IPS,HDMI,103.18
HP,HP Monitor 125,27.3,3840x2160,75,VA,VGA,505.25
BenQ,BenQ Monitor 558,33.4,2560x1440,144,TN,DisplayPort,281.73
LG,LG Monitor 842,21.3,3840x2160,144,TN,HDMI,448.48
LG,LG Monitor 353,24.8,3840x2160,144,TN,DisplayPort,273.57
BenQ,BenQ Monitor 268,33.6,2560x1440,144,TN,USB-C,661.61
Asus,Asus Monitor 801,25.4,2560x1440,75,IPS,HDMI,202.24
LG,LG Monitor 139,33.0,1920x1080,120,IPS,USB-C,539.63
Asus,Asus Monitor 801,27.3,1920x1080,120,TN,USB-C,576.67
BenQ,BenQ Monitor 357,25.8,3840x2160,144,IPS,VGA,491.29
Asus,Asus Monitor 924,33.3,1920x1080,120,TN,VGA,618.33
BenQ,BenQ Monitor 803,31.4,2560x1440,60,VA,HDMI,351.06
Asus,Asus Monitor 112,22.9,1920x1080,75,TN,DisplayPort,329.95
Dell,Dell Monitor 995,33.2,1920x1080,60,VA,VGA,121.74
HP,HP Monitor 421,21.1,3840x2160,144,VA,DisplayPort,489.14
HP,HP Monitor 197,27.5,1920x1080,144,TN,HDMI,125.79
BenQ,BenQ Monitor 910,22.4,2560x1440,120,IPS,VGA,575.98
Acer,Acer Monitor 560,24.8,1920x1080,60,IPS,USB-C,696.27
BenQ,BenQ Monitor 181,30.5,3840x2160,75,TN,DisplayPort,586.39
Samsung,Samsung Monitor 554,27.0,3840x2160,144,VA,DisplayPort,337.14
Asus,Asus Monitor 302,26.6,1920x1080,144,VA,VGA,172.63
Asus,Asus Monitor 938,25.7,1920x1080,120,IPS,USB-C,687.87
Asus,Asus Monitor 301,25.8,2560x1440,75,IPS,VGA,129.1
BenQ,BenQ Monitor 604,26.9,2560x1440,75,VA,USB-C,116.83
Acer,Acer Monitor 301,31.4,2560x1440,75,IPS,VGA,180.47
BenQ,BenQ Monitor 160,27.4,2560x1440,120,IPS,DisplayPort,533.33
HP,HP Monitor 304,27.9,3840x2160,120,IPS,VGA,253.08
Dell,Dell Monitor 999,24.6,3840x2160,120,VA,HDMI,260.25
BenQ,BenQ Monitor 227,26.1,3840x2160,120,VA,USB-C,196.06
HP,HP Monitor 291,33.9,3840x2160,75,VA,DisplayPort,189.87
Dell,Dell Monitor 597,32.5,1920x1080,144,TN,HDMI,203.58
Dell,Dell Monitor 627,32.4,2560x1440,75,VA,DisplayPort,458.88
LG,LG Monitor 901,28.3,2560x1440,120,VA,DisplayPort,428.02
Acer,Acer Monitor 691,30.6,3840x2160,60,VA,VGA,372.36
HP,HP Monitor 533,29.8,1920x1080,75,TN,USB-C,352.29
