Brand,Model,Device Type,Connection,Control Method,Compatibility,Price (USD)
Amazon,Amazon Smart Bulb 824,Smart Bulb,Wi-Fi,Mobile App,Google Assistant,164.33
TP-Link,TP-Link Thermostat 980,Thermostat,Bluetooth,Manual,Alexa,190.96
Xiaomi,Xiaomi Smart Plug 141,Smart Plug,Zigbee,Mobile App,Apple HomeKit,176.72
Google Nest,Google Nest Thermostat 476,Thermostat,Zigbee,Voice Assistant,Google Assistant,24.84
Amazon,Amazon Smart Bulb 253,Smart Bulb,Wi-Fi,Manual,Apple HomeKit,18.37
Xiaomi,Xiaomi Smart Plug 594,Smart Plug,Bluetooth,Voice Assistant,All,121.6
TP-Link,TP-Link Smart Plug 165,Smart Plug,Wi-Fi,Manual,Apple HomeKit,76.84
TP-Link,TP-Link Smart Bulb 917,Smart Bulb,Wi-Fi,Mobile App,All,123.52
Philips Hue,Philips Hue Smart Plug 107,Smart Plug,Bluetooth,Mobile App,Alexa,39.06
TP-Link,TP-Link Motion Sensor 776,Motion Sensor,Wi-Fi,Manual,Alexa,124.75
Philips Hue,Philips Hue Thermostat 105,Thermostat,Wi-Fi,Mobile App,All,15.64
Xiaomi,Xiaomi Thermostat 160,Thermostat,Wi-Fi,Voice Assistant,Apple HomeKit,95.41
Xiaomi,Xiaomi Smart Bulb 307,Smart Bulb,Zigbee,Manual,All,68.2
Philips Hue,Philips Hue Smart Bulb 665,Smart Bulb,Bluetooth,Voice Assistant,Alexa,106.95
Xiaomi,Xiaomi Smart Plug 594,Smart Plug,Wi-Fi,Mobile App,Alexa,88.08
TP-Link,TP-Link Smart Plug 810,Smart Plug,Wi-Fi,Manual,Apple HomeKit,60.34
Google Nest,Google Nest Smart Bulb 426,Smart Bulb,Wi-Fi,Manual,Apple HomeKit,15.63
Google Nest,Google Nest Smart Bulb 527,Smart Bulb,Zigbee,Manual,Alexa,126.63
Philips Hue,Philips Hue Smart Plug 605,Smart Plug,Wi-Fi,Mobile App,Apple HomeKit,190.61
Xiaomi,Xiaomi Smart Bulb 949,Smart Bulb,Zigbee,Voice Assistant,Google Assistant,155.03
Amazon,Amazon Smart Plug 105,Smart Plug,Wi-Fi,Manual,Alexa,27.11
TP-Link,TP-Link Motion Sensor 710,Motion Sensor,Bluetooth,Manual,Google Assistant,174.17
Philips Hue,Philips Hue Camera 961,Camera,Wi-Fi,Manual,All,182.75
Philips Hue,Philips Hue Motion Sensor 568,Motion Sensor,Wi-Fi,Mobile App,Alexa,39.67
Xiaomi,Xiaomi Camera 549,Camera,Bluetooth,Manual,Alexa,181.94
Amazon,Amazon Motion Sensor 982,Motion Sensor,Zigbee,Mobile App,Alexa,98.79
TP-Link,TP-Link Camera 783,Camera,Wi-Fi,Manual,Google Assistant,121.87
Xiaomi,Xiaomi Motion Sensor 954,Motion Sensor,Zigbee,Manual,Alexa,163.71
TP-Link,TP-Link Smart Bulb 334,Smart Bulb,Wi-Fi,Manual,Google Assistant,40.62
Amazon,Amazon Motion Sensor 599,Motion Sensor,Wi-Fi,Mobile App,Alexa,75.5
TP-Link,TP-Link Thermostat 919,Thermostat,Zigbee,Voice Assistant,All,16.81
Amazon,Amazon Motion Sensor 404,Motion Sensor,Zigbee,Mobile App,All,19.04
Philips Hue,Philips Hue Thermostat 225,Thermostat,Wi-Fi,Manual,Alexa,42.12
Amazon,Amazon Smart Bulb 519,Smart Bulb,Zigbee,Manual,Apple HomeKit,27.25
TP-Link,TP-Link Camera 882,Camera,Wi-Fi,Manual,Apple HomeKit,72.07
Google Nest,Google Nest Thermostat 402,Thermostat,Zigbee,Mobile App,Google Assistant,101.32
Philips Hue,Philips Hue Smart Plug 117,Smart Plug,Zigbee,Manual,Apple HomeKit,146.89
Amazon,Amazon Motion Sensor 636,Motion Sensor,Zigbee,Manual,Google Assistant,191.33
Philips Hue,Philips Hue Smart Bulb 428,Smart Bulb,Bluetooth,Voice Assistant,All,105.75
Amazon,Amazon Camera 653,Camera,Zigbee,Mobile App,Alexa,51.55
Philips Hue,Philips Hue Motion Sensor 402,Motion Sensor,Bluetooth,Mobile App,Alexa,84.07
Amazon,Amazon Motion Sensor 304,Motion Sensor,Wi-Fi,Voice Assistant,All,198.24
Xiaomi,Xiaomi Camera 588,Camera,Wi-Fi,Mobile App,Google Assistant,64.87
Xiaomi,Xiaomi Motion Sensor 498,Motion Sensor,Zigbee,Manual,Google Assistant,147.35
Philips Hue,Philips Hue Camera 217,Camera,Zigbee,Voice Assistant,All,129.7
Philips Hue,Philips Hue Thermostat 119,Thermostat,Bluetooth,Manual,All,62.12
Philips Hue,Philips Hue Thermostat 658,Thermostat,Bluetooth,Voice Assistant,Google Assistant,154.64
TP-Link,TP-Link Motion Sensor 144,Motion Sensor,Bluetooth,Mobile App,Google Assistant,56.15
TP-Link,TP-Link Smart Plug 467,Smart Plug,Wi-Fi,Manual,Apple HomeKit,96.86
Google Nest,Google Nest Thermostat 258,Thermostat,Wi-Fi,Manual,Google Assistant,120.12
Xiaomi,Xiaomi Thermostat 954,Thermostat,Zigbee,Mobile App,Alexa,184.31
Xiaomi,Xiaomi Smart Plug 757,Smart Plug,Zigbee,Manual,Alexa,108.78
Amazon,Amazon Motion Sensor 828,Motion Sensor,Bluetooth,Mobile App,Google Assistant,185.84
Amazon,Amazon Motion Sensor 632,Motion Sensor,Zigbee,Mobile App,Google Assistant,40.04
Google Nest,Google Nest Smart Plug 791,Smart Plug,Bluetooth,Voice Assistant,Alexa,77.1
Amazon,Amazon Camera 964,Camera,Wi-Fi,Voice Assistant,Apple HomeKit,124.75
Google Nest,Google Nest Camera 528,Camera,Wi-Fi,Manual,All,167.69
Google Nest,Google Nest Motion Sensor 714,Motion Sensor,Zigbee,Voice Assistant,Apple HomeKit,126.95
Xiaomi,Xiaomi Thermostat 722,Thermostat,Bluetooth,Manual,All,196.69
Philips Hue,Philips Hue Smart Bulb 615,Smart Bulb,Bluetooth,Mobile App,All,59.39
Amazon,Amazon Camera 156,Camera,Zigbee,Manual,Alexa,95.32
TP-Link,TP-Link Smart Bulb 253,Smart Bulb,Zigbee,Mobile App,All,180.03
Philips Hue,Philips Hue Camera 315,Camera,Zigbee,Mobile App,Alexa,61.65
TP-Link,TP-Link Smart Bulb 238,Smart Bulb,Bluetooth,Mobile App,Google Assistant,174.74
TP-Link,TP-Link Thermostat 175,Thermostat,Bluetooth,Voice Assistant,Google Assistant,57.04
Google Nest,Google Nest Smart Bulb 648,Smart Bulb,Wi-Fi,Mobile App,Google Assistant,191.56
Philips Hue,Philips Hue Thermostat 639,Thermostat,Zigbee,Mobile App,Apple HomeKit,92.89
Google Nest,Google Nest Camera 466,Camera,Zigbee,Mobile App,Google Assistant,124.23
Philips Hue,Philips Hue Smart Bulb 594,Smart Bulb,Bluetooth,Voice Assistant,Alexa,151.05
Philips Hue,Philips Hue Motion Sensor 647,Motion Sensor,Wi-Fi,Mobile App,Google Assistant,178.61
Xiaomi,Xiaomi Camera 424,Camera,Zigbee,Manual,Alexa,37.09
Philips Hue,Philips Hue Camera 684,Camera,Zigbee,Voice Assistant,All,92.66
Amazon,Amazon Smart Bulb 790,Smart Bulb,Bluetooth,Voice Assistant,Alexa,95.5
Amazon,Amazon Thermostat 965,Thermostat,Wi-Fi,Manual,All,47.66
Xiaomi,Xiaomi Smart Bulb 438,Smart Bulb,Wi-Fi,Mobile App,Google Assistant,48.8
Philips Hue,Philips Hue Smart Bulb 510,Smart Bulb,Wi-Fi,Manual,Alexa,121.38
Amazon,Amazon Smart Plug 646,Smart Plug,Wi-Fi,Mobile App,All,164.7
Xiaomi,Xiaomi Camera 197,Camera,Wi-Fi,Voice Assistant,Apple HomeKit,135.82
Google Nest,Google Nest Motion Sensor 946,Motion Sensor,Wi-Fi,Voice Assistant,Apple HomeKit,136.23
TP-Link,TP-Link Smart Plug 338,Smart Plug,Wi-Fi,Mobile App,All,98.2
Philips Hue,Philips Hue Thermostat 126,Thermostat,Wi-Fi,Mobile App,Google Assistant,102.86
TP-Link,TP-Link Smart Plug 602,Smart Plug,Wi-Fi,Manual,Alexa,110.88
Google Nest,Google Nest Smart Bulb 514,Smart Bulb,Wi-Fi,Mobile App,Google Assistant,184.94
TP-Link,TP-Link Smart Bulb 687,Smart Bulb,Zigbee,Mobile App,Apple HomeKit,80.63
TP-Link,TP-Link Thermostat 231,Thermostat,Wi-Fi,Manual,Alexa,174.94
Google Nest,Google Nest Thermostat 593,Thermostat,Zigbee,Mobile App,Google Assistant,65.61
TP-Link,TP-Link Thermostat 621,Thermostat,Wi-Fi,Voice Assistant,Apple HomeKit,85.76
Xiaomi,Xiaomi Smart Plug 150,Smart Plug,Zigbee,Voice Assistant,All,87.43
Xiaomi,Xiaomi Camera 404,Camera,Zigbee,Manual,Apple HomeKit,91.32
Google Nest,Google Nest Motion Sensor 271,Motion Sensor,Bluetooth,Voice Assistant,Apple HomeKit,60.69
Amazon,Amazon Smart Plug 101,Smart Plug,Zigbee,Mobile App,Apple HomeKit,162.1
TP-Link,TP-Link Smart Plug 181,Smart Plug,Wi-Fi,Mobile App,Google Assistant,194.92
Xiaomi,Xiaomi Thermostat 595,Thermostat,Wi-Fi,Voice Assistant,Google Assistant,69.05
Amazon,Amazon Smart Plug 462,Smart Plug,Bluetooth,Manual,All,99.03
Philips Hue,Philips Hue Thermostat 700,Thermostat,Zigbee,Voice Assistant,Google Assistant,67.62
Amazon,Amazon Smart Bulb 870,Smart Bulb,Zigbee,Manual,Alexa,86.78
Xiaomi,Xiaomi Smart Bulb 577,Smart Bulb,Wi-Fi,Manual,Apple HomeKit,119.92
Google Nest,Google Nest Thermostat 601,Thermostat,Wi-Fi,Manual,Google Assistant,155.75
Amazon,Amazon Smart Plug 168,Smart Plug,Wi-Fi,Mobile App,Google Assistant,104.7
TP-Link,TP-Link Motion Sensor 741,Motion Sensor,Bluetooth,Manual,Google Assistant,43.86
Google Nest,Google Nest Smart Plug 652,Smart Plug,Zigbee,Manual,All,104.24
Google Nest,Google Nest Thermostat 726,Thermostat,Wi-Fi,Mobile App,Alexa,86.19
