Company,Description,Rate,Comments Number,Number bought last month,Actual Price,Basic Price,URL
Apple,"Apple AirPods 4 Écouteurs sans Fil, Casques et écouteurs Bluetooth, Audio Spatial personnalisé, résistance à la Transpiration et l’Eau, boîtier de Charge USB-C, Puce H2, Jusqu’à 24 Heures d’autonomie","4,2",540,5000,N/A,N/A,https://www.amazon.fr/Apple-personnalis%C3%A9-r%C3%A9sistance-Transpiration-dautonomie/dp/B0DGHWD7CT/ref=sr_1_1?dib=eyJ2IjoiMSJ9.oN2YZNRAeYx0wHI0XuBgKy61LreeKf-APdy4AylqTrljdpwGApYE3CCA1GqpGH1S7qQVHZKaNUbIPx4fFi4yZrzii2HFYyYHOOJa6c3mwRETQdrasFvXgej6pY2M4bLwyXMsUFzdl7AEtuLH1_skOPnkRe7xzuHl3ZeqswHGHZdf7IMDW9eq7jECoTWIJa92qo2HAaWEMo7KtqCEbYSMml9M9xFDDrRU6-uz9kB6ZHxt8J2Wie3o1a0RLxdwEKm-LbcVxu8sMEbJkokbSu-4gu4PmBrgHEMvd-MyyqV1r4nOmoc63usDasmWRr2COKy38njzwmwaORjs2jhZ3qfsawqib9dEq8YJM_SOpa8DMX8.8czU2krFZX2v2WVVwoNAnw5iiMKtFm7zgoefXbAKYgA&dib_tag=se&nsdOptOutParam=true&qid=1734522315&refinements=p_72%3A437873031&s=electronics&sr=1-1
Apple,"Apple AirPods Pro 2 Écouteurs sans Fil, Casques et écouteurs Bluetooth, Réduction Active du Bruit, Appareil auditif, Mode Transparence, Audio Spatial personnalisé, Son Haute-fidélité, Recharge USB-C","4,6",11823,5000,219.00,279.00,https://www.amazon.fr/Apple-%C3%89couteurs-Transparence-personnalis%C3%A9-Haute-fid%C3%A9lit%C3%A9/dp/B0CHWZ9TZS/ref=sr_1_2?dib=eyJ2IjoiMSJ9.oN2YZNRAeYx0wHI0XuBgKy61LreeKf-APdy4AylqTrljdpwGApYE3CCA1GqpGH1S7qQVHZKaNUbIPx4fFi4yZrzii2HFYyYHOOJa6c3mwRETQdrasFvXgej6pY2M4bLwyXMsUFzdl7AEtuLH1_skOPnkRe7xzuHl3ZeqswHGHZdf7IMDW9eq7jECoTWIJa92qo2HAaWEMo7KtqCEbYSMml9M9xFDDrRU6-uz9kB6ZHxt8J2Wie3o1a0RLxdwEKm-LbcVxu8sMEbJkokbSu-4gu4PmBrgHEMvd-MyyqV1r4nOmoc63usDasmWRr2COKy38njzwmwaORjs2jhZ3qfsawqib9dEq8YJM_SOpa8DMX8.8czU2krFZX2v2WVVwoNAnw5iiMKtFm7zgoefXbAKYgA&dib_tag=se&nsdOptOutParam=true&qid=1734522315&refinements=p_72%3A437873031&s=electronics&sr=1-2
Apple,"Apple AirPods 4 Écouteurs sans Fil, écouteurs Bluetooth, avec Réduction Active du Bruit, Audio adaptatif, Mode Transparence, Audio Spatial personnalisé, boîtier de Charge USB-C, Recharge sans Fil","4,6",988,5000,199.00,N/A,https://www.amazon.fr/Apple-%C3%89couteurs-%C3%A9couteurs-Transparence-personnalis%C3%A9/dp/B0DGHYDYJL/ref=sr_1_3?dib=eyJ2IjoiMSJ9.oN2YZNRAeYx0wHI0XuBgKy61LreeKf-APdy4AylqTrljdpwGApYE3CCA1GqpGH1S7qQVHZKaNUbIPx4fFi4yZrzii2HFYyYHOOJa6c3mwRETQdrasFvXgej6pY2M4bLwyXMsUFzdl7AEtuLH1_skOPnkRe7xzuHl3ZeqswHGHZdf7IMDW9eq7jECoTWIJa92qo2HAaWEMo7KtqCEbYSMml9M9xFDDrRU6-uz9kB6ZHxt8J2Wie3o1a0RLxdwEKm-LbcVxu8sMEbJkokbSu-4gu4PmBrgHEMvd-MyyqV1r4nOmoc63usDasmWRr2COKy38njzwmwaORjs2jhZ3qfsawqib9dEq8YJM_SOpa8DMX8.8czU2krFZX2v2WVVwoNAnw5iiMKtFm7zgoefXbAKYgA&dib_tag=se&nsdOptOutParam=true&qid=1734522315&refinements=p_72%3A437873031&s=electronics&sr=1-3
JBL,JBL Tune760NC – Casque audio circum-auriculaire sans fil à réduction de bruit active – Son JBL Pure Bass – Autonomie de 35h – Appels mains-libres et commande vocale – Noir,"4,3",8822,5000,69.60,129.99,https://www.amazon.fr/JBL-Tune760NC-circum-auriculaire-r%C3%A9duction-mains-libres/dp/B096FYLJ6M/ref=sr_1_4?dib=eyJ2IjoiMSJ9.oN2YZNRAeYx0wHI0XuBgKy61LreeKf-APdy4AylqTrljdpwGApYE3CCA1GqpGH1S7qQVHZKaNUbIPx4fFi4yZrzii2HFYyYHOOJa6c3mwRETQdrasFvXgej6pY2M4bLwyXMsUFzdl7AEtuLH1_skOPnkRe7xzuHl3ZeqswHGHZdf7IMDW9eq7jECoTWIJa92qo2HAaWEMo7KtqCEbYSMml9M9xFDDrRU6-uz9kB6ZHxt8J2Wie3o1a0RLxdwEKm-LbcVxu8sMEbJkokbSu-4gu4PmBrgHEMvd-MyyqV1r4nOmoc63usDasmWRr2COKy38njzwmwaORjs2jhZ3qfsawqib9dEq8YJM_SOpa8DMX8.8czU2krFZX2v2WVVwoNAnw5iiMKtFm7zgoefXbAKYgA&dib_tag=se&nsdOptOutParam=true&qid=1734522315&refinements=p_72%3A437873031&s=electronics&sr=1-4
Sony,"Sony WH1000XM4| Casque Bluetooth à réduction de bruit sans fil, 30 heures d'autonomie, avec micro pour appels téléphoniques, optimisé pour Amazon Alexa et Google assistant, Noir","4,6",20507,3000,229.99,380.00,https://www.amazon.fr/Sony-WH1000XM4-Bluetooth-dautonomie-t%C3%A9l%C3%A9phoniques/dp/B08C7KG5LP/ref=sr_1_5?dib=eyJ2IjoiMSJ9.oN2YZNRAeYx0wHI0XuBgKy61LreeKf-APdy4AylqTrljdpwGApYE3CCA1GqpGH1S7qQVHZKaNUbIPx4fFi4yZrzii2HFYyYHOOJa6c3mwRETQdrasFvXgej6pY2M4bLwyXMsUFzdl7AEtuLH1_skOPnkRe7xzuHl3ZeqswHGHZdf7IMDW9eq7jECoTWIJa92qo2HAaWEMo7KtqCEbYSMml9M9xFDDrRU6-uz9kB6ZHxt8J2Wie3o1a0RLxdwEKm-LbcVxu8sMEbJkokbSu-4gu4PmBrgHEMvd-MyyqV1r4nOmoc63usDasmWRr2COKy38njzwmwaORjs2jhZ3qfsawqib9dEq8YJM_SOpa8DMX8.8czU2krFZX2v2WVVwoNAnw5iiMKtFm7zgoefXbAKYgA&dib_tag=se&nsdOptOutParam=true&qid=1734522315&refinements=p_72%3A437873031&s=electronics&sr=1-5
Sony,Sony WH-CH720N - Casque Bluetooth sans Fil à réduction de Bruit - Micro intégré - jusqu'à 35 Heures d'autonomie et Charge Rapide - Noir,"4,5",8254,3000,79.00,150.00,https://www.amazon.fr/Sony-WH-CH720N-Bluetooth-r%C3%A9duction-dautonomie/dp/B0BTDX26B2/ref=sr_1_6?dib=eyJ2IjoiMSJ9.oN2YZNRAeYx0wHI0XuBgKy61LreeKf-APdy4AylqTrljdpwGApYE3CCA1GqpGH1S7qQVHZKaNUbIPx4fFi4yZrzii2HFYyYHOOJa6c3mwRETQdrasFvXgej6pY2M4bLwyXMsUFzdl7AEtuLH1_skOPnkRe7xzuHl3ZeqswHGHZdf7IMDW9eq7jECoTWIJa92qo2HAaWEMo7KtqCEbYSMml9M9xFDDrRU6-uz9kB6ZHxt8J2Wie3o1a0RLxdwEKm-LbcVxu8sMEbJkokbSu-4gu4PmBrgHEMvd-MyyqV1r4nOmoc63usDasmWRr2COKy38njzwmwaORjs2jhZ3qfsawqib9dEq8YJM_SOpa8DMX8.8czU2krFZX2v2WVVwoNAnw5iiMKtFm7zgoefXbAKYgA&dib_tag=se&nsdOptOutParam=true&qid=1734522315&refinements=p_72%3A437873031&s=electronics&sr=1-6
Sony,"Sony WH-CH520 - Casque Bluetooth sans Fil, Multipoint, Micro intégré - jusqu'à 50 Heures d'autonomie et Charge Rapide - Noir","4,4",23678,5000,34.00,70.00,https://www.amazon.fr/Sony-WH-CH520-Bluetooth-Multipoint-dautonomie/dp/B0BTJD6LCL/ref=sr_1_7?dib=eyJ2IjoiMSJ9.oN2YZNRAeYx0wHI0XuBgKy61LreeKf-APdy4AylqTrljdpwGApYE3CCA1GqpGH1S7qQVHZKaNUbIPx4fFi4yZrzii2HFYyYHOOJa6c3mwRETQdrasFvXgej6pY2M4bLwyXMsUFzdl7AEtuLH1_skOPnkRe7xzuHl3ZeqswHGHZdf7IMDW9eq7jECoTWIJa92qo2HAaWEMo7KtqCEbYSMml9M9xFDDrRU6-uz9kB6ZHxt8J2Wie3o1a0RLxdwEKm-LbcVxu8sMEbJkokbSu-4gu4PmBrgHEMvd-MyyqV1r4nOmoc63usDasmWRr2COKy38njzwmwaORjs2jhZ3qfsawqib9dEq8YJM_SOpa8DMX8.8czU2krFZX2v2WVVwoNAnw5iiMKtFm7zgoefXbAKYgA&dib_tag=se&nsdOptOutParam=true&qid=1734522315&refinements=p_72%3A437873031&s=electronics&sr=1-7
SHOKZ,"SHOKZ OpenRun Casque à Conduction osseuse, écouteurs Bluetooth Oreilles Libres pour Le Sport avec Micro, Casque sans Fil étanche IP67 pour la Course à Pied, 8 Heures d'autonomie, USB-C - Noir","4,5",22348,4000,94.00,94.00,https://www.amazon.fr/SHOKZ-Conduction-%C3%A9couteurs-Bluetooth-dautonomie/dp/B0CYFSQPJH/ref=sr_1_8?dib=eyJ2IjoiMSJ9.oN2YZNRAeYx0wHI0XuBgKy61LreeKf-APdy4AylqTrljdpwGApYE3CCA1GqpGH1S7qQVHZKaNUbIPx4fFi4yZrzii2HFYyYHOOJa6c3mwRETQdrasFvXgej6pY2M4bLwyXMsUFzdl7AEtuLH1_skOPnkRe7xzuHl3ZeqswHGHZdf7IMDW9eq7jECoTWIJa92qo2HAaWEMo7KtqCEbYSMml9M9xFDDrRU6-uz9kB6ZHxt8J2Wie3o1a0RLxdwEKm-LbcVxu8sMEbJkokbSu-4gu4PmBrgHEMvd-MyyqV1r4nOmoc63usDasmWRr2COKy38njzwmwaORjs2jhZ3qfsawqib9dEq8YJM_SOpa8DMX8.8czU2krFZX2v2WVVwoNAnw5iiMKtFm7zgoefXbAKYgA&dib_tag=se&nsdOptOutParam=true&qid=1734522315&refinements=p_72%3A437873031&s=electronics&sr=1-8
Apple,Apple EarPods avec connecteur Lightning,"4,4",2070,5000,17.99,19.00,https://www.amazon.fr/Apple-EarPods-avec-connecteur-Lightning/dp/B0D7MNX9Y5/ref=sr_1_9?dib=eyJ2IjoiMSJ9.oN2YZNRAeYx0wHI0XuBgKy61LreeKf-APdy4AylqTrljdpwGApYE3CCA1GqpGH1S7qQVHZKaNUbIPx4fFi4yZrzii2HFYyYHOOJa6c3mwRETQdrasFvXgej6pY2M4bLwyXMsUFzdl7AEtuLH1_skOPnkRe7xzuHl3ZeqswHGHZdf7IMDW9eq7jECoTWIJa92qo2HAaWEMo7KtqCEbYSMml9M9xFDDrRU6-uz9kB6ZHxt8J2Wie3o1a0RLxdwEKm-LbcVxu8sMEbJkokbSu-4gu4PmBrgHEMvd-MyyqV1r4nOmoc63usDasmWRr2COKy38njzwmwaORjs2jhZ3qfsawqib9dEq8YJM_SOpa8DMX8.8czU2krFZX2v2WVVwoNAnw5iiMKtFm7zgoefXbAKYgA&dib_tag=se&nsdOptOutParam=true&qid=1734522315&refinements=p_72%3A437873031&s=electronics&sr=1-9
N/A,"Ecouteurs Bluetooth sans Fil, Casque Bluetooth 5.3, 50 Heures Contrôle Tactile, 4 ENC Appel Réduction Antibruit Mic, Basses Profondes, Ajustement Confortable, IPX7 Étanche oreillette（Noir）","4,5",14186,5000,23.98,23.99,https://www.amazon.fr/Ecouteurs-Bluetooth-R%C3%A9duction-Ajustement-Confortable/dp/B0CCDNJS75/ref=sr_1_10?dib=eyJ2IjoiMSJ9.oN2YZNRAeYx0wHI0XuBgKy61LreeKf-APdy4AylqTrljdpwGApYE3CCA1GqpGH1S7qQVHZKaNUbIPx4fFi4yZrzii2HFYyYHOOJa6c3mwRETQdrasFvXgej6pY2M4bLwyXMsUFzdl7AEtuLH1_skOPnkRe7xzuHl3ZeqswHGHZdf7IMDW9eq7jECoTWIJa92qo2HAaWEMo7KtqCEbYSMml9M9xFDDrRU6-uz9kB6ZHxt8J2Wie3o1a0RLxdwEKm-LbcVxu8sMEbJkokbSu-4gu4PmBrgHEMvd-MyyqV1r4nOmoc63usDasmWRr2COKy38njzwmwaORjs2jhZ3qfsawqib9dEq8YJM_SOpa8DMX8.8czU2krFZX2v2WVVwoNAnw5iiMKtFm7zgoefXbAKYgA&dib_tag=se&nsdOptOutParam=true&qid=1734522315&refinements=p_72%3A437873031&s=electronics&sr=1-10
