Brand,Model,Resolution,FPS,Built-in Microphone,Field of View (°),Connection,Price (USD)
Logitech,Logitech Webcam 864,1080p,30,Yes,78,USB,132.57
Microsoft,Microsoft Webcam 777,4K,30,No,90,USB,220.75
Logitech,Logitech Webcam 813,720p,30,No,78,USB,61.31
Microsoft,Microsoft Webcam 111,1080p,60,No,78,USB,152.19
Creative,Creative Webcam 197,720p,30,No,90,USB,128.97
Razer,Razer Webcam 247,720p,60,No,120,USB,153.51
AverMedia,AverMedia Webcam 878,720p,60,No,120,USB,184.41
Razer,Razer Webcam 822,4K,60,No,90,USB,150.43
Creative,Creative Webcam 519,4K,30,No,78,USB,85.89
Microsoft,Microsoft Webcam 357,1080p,30,No,90,USB,165.1
Logitech,Logitech Webcam 829,4K,60,Yes,120,USB,63.87
Creative,Creative Webcam 321,1080p,30,No,90,USB,79.33
Razer,Razer Webcam 101,720p,30,No,120,USB,118.61
Razer,Razer Webcam 876,4K,60,Yes,120,USB,207.1
Razer,Razer Webcam 927,720p,30,Yes,78,USB,156.57
Razer,Razer Webcam 750,1080p,60,Yes,78,USB,84.3
Creative,Creative Webcam 242,1080p,60,No,120,USB,173.18
Razer,Razer Webcam 294,1080p,60,Yes,120,USB,200.45
AverMedia,AverMedia Webcam 848,720p,30,Yes,78,USB,173.26
Creative,Creative Webcam 742,1080p,60,Yes,78,USB,110.13
Razer,Razer Webcam 190,1080p,30,No,120,USB,63.36
Microsoft,Microsoft Webcam 944,4K,30,No,90,USB,196.69
AverMedia,AverMedia Webcam 303,4K,60,No,78,USB,235.41
Creative,Creative Webcam 242,4K,60,No,120,USB,70.6
Microsoft,Microsoft Webcam 143,1080p,60,No,90,USB,121.6
Razer,Razer Webcam 757,720p,60,Yes,120,USB,54.67
Creative,Creative Webcam 894,1080p,60,Yes,78,USB,86.52
Microsoft,Microsoft Webcam 839,1080p,30,No,120,USB,76.08
Logitech,Logitech Webcam 645,1080p,30,No,78,USB,244.41
Logitech,Logitech Webcam 627,4K,30,No,78,USB,201.25
Microsoft,Microsoft Webcam 647,4K,60,Yes,78,USB,108.7
Microsoft,Microsoft Webcam 113,4K,30,Yes,90,USB,109.27
Creative,Creative Webcam 867,720p,30,Yes,120,USB,163.3
Logitech,Logitech Webcam 652,1080p,30,No,78,USB,245.19
AverMedia,AverMedia Webcam 472,1080p,30,No,78,USB,156.69
Razer,Razer Webcam 201,4K,30,Yes,90,USB,49.04
Razer,Razer Webcam 206,4K,30,Yes,78,USB,184.92
Creative,Creative Webcam 812,1080p,30,Yes,90,USB,213.19
AverMedia,AverMedia Webcam 977,720p,60,Yes,90,USB,120.29
Microsoft,Microsoft Webcam 201,4K,60,No,90,USB,172.74
Microsoft,Microsoft Webcam 443,720p,30,No,90,USB,174.67
Razer,Razer Webcam 584,1080p,60,Yes,90,USB,134.61
